iter	Passed	Remaining
473	681	756
474	682	754
475	683	752
476	687	753
477	688	751
478	689	750
479	690	748
480	691	746
481	692	744
482	693	742
483	694	740
484	696	739
485	697	737
486	697	735
487	698	733
488	699	731
489	700	729
490	701	727
491	704	727
492	705	726
493	706	724
494	708	722
495	709	720
496	710	719
497	711	717
498	713	716
499	714	714
500	715	712
501	715	710
502	716	708
503	717	706
504	718	704
505	719	702
506	723	703
507	724	701
508	725	700
509	726	698
510	727	696
511	728	694
512	729	692
513	730	690
514	730	688
515	731	686
516	732	684
517	733	682
518	734	680
519	735	678
520	736	676
521	737	674
522	739	674
523	740	672
524	741	671
525	742	669
526	743	667
527	744	665
528	745	663
529	746	661
530	746	659
531	747	657
532	748	655
533	749	654
534	750	652
535	751	650
536	752	648
537	753	646
538	754	644
539	758	645
540	759	644
541	760	642
542	761	640
543	762	639
544	763	637
545	764	635
546	765	633
547	765	631
548	766	629
549	767	628
550	768	626
551	769	624
552	770	622
553	771	620
554	772	619
555	775	619
556	776	617
557	777	615
558	778	613
559	778	612
560	779	610
561	780	608
562	781	606
563	782	604
564	783	603
565	784	601
566	784	599
567	785	597
568	786	595
569	787	594
570	788	592
571	789	590
572	790	589
573	792	588
574	793	586
575	794	584
576	795	583
577	796	581
578	797	579
579	798	577
580	799	576
581	799	574
582	800	572
583	801	571
584	802	569
585	803	567
586	804	565
587	805	564
588	805	562
589	806	560
590	807	558
591	808	557
592	812	557
593	813	555
594	814	554
595	815	552
596	815	550
597	816	549
598	817	547
599	818	545
600	819	544
601	820	542
602	821	540
603	822	539
604	823	537
605	823	535
606	824	534
607	825	532
608	826	530
609	829	530
610	830	528
611	831	527
612	832	525
613	833	523
614	834	522
615	835	520
616	835	518
617	836	517
618	837	515
619	838	513
620	839	512
621	840	510
622	841	509
623	842	507
624	843	505
625	843	504
626	844	502
627	848	502
628	849	501
629	850	499
630	851	497
631	852	496
632	853	494
633	854	493
634	854	491
635	855	489
636	856	488
637	857	486
638	858	484
639	859	483
640	860	481
641	861	480
642	861	478
643	862	476
644	865	476
645	866	475
646	867	473
647	868	471
648	869	470
649	870	468
650	871	467
651	872	465
652	872	463
653	873	462
654	874	460
655	875	459
656	876	457
657	877	456
658	878	454
659	879	452
660	880	451
661	880	449
662	882	448
663	884	447
664	885	445
665	885	444
666	886	442
667	887	441
668	888	439
669	889	438
670	890	436
671	891	435
672	892	433
673	893	432
674	894	430
675	895	429
676	896	427
677	897	426
678	897	424
679	898	422
680	899	421
681	902	420
682	903	419
683	903	417
684	904	416
685	905	414
686	906	413
687	907	411
688	908	409
689	909	408
690	909	406
691	910	405
692	911	403
693	912	402
694	913	400
695	914	399
696	915	397
697	916	396
698	919	395
699	920	394
700	921	392
701	921	391
702	922	389
703	923	388
704	924	386
705	925	385
706	926	383
707	927	382
708	928	380
709	928	379
710	929	377
711	930	376
712	931	375
713	932	373
714	933	372
715	934	370
716	938	370
717	939	368
718	940	367
719	940	365
720	941	364
721	942	362
722	943	361
723	944	360
724	945	358
725	946	357
726	947	355
727	948	354
728	948	352
729	949	351
730	950	349
731	952	348
732	954	347
733	955	346
734	956	344
735	957	343
736	957	341
737	958	340
738	959	338
739	960	337
740	961	336
741	962	334
742	963	333
743	964	331
744	964	330
745	965	328
746	966	327
747	967	325
748	968	324
749	972	324
750	973	322
751	974	321
752	975	320
753	977	318
754	979	317
755	981	316
756	983	315
757	985	314
758	990	314
759	992	313
760	994	312
761	995	311
762	997	309
763	999	308
764	1000	307
765	1002	306
766	1009	306
767	1011	305
768	1012	304
769	1014	303
770	1016	301
771	1017	300
772	1019	299
773	1020	298
774	1022	296
775	1028	296
776	1030	295
777	1032	294
778	1034	293
779	1037	292
780	1038	291
781	1047	291
782	1049	290
783	1051	289
784	1053	288
785	1054	287
786	1057	286
787	1059	284
788	1060	283
789	1066	283
790	1068	282
791	1070	281
792	1072	279
793	1074	278
794	1075	277
795	1077	276
796	1079	274
797	1084	274
798	1087	273
799	1090	272
800	1092	271
801	1094	270
802	1095	268
803	1097	267
804	1098	266
805	1101	265
806	1103	263
807	1104	262
808	1106	261
809	1108	259
810	1110	258
811	1111	257
812	1114	256
813	1120	256
814	1121	254
815	1123	253
816	1124	251
817	1126	250
818	1127	249
819	1129	247
820	1131	246
821	1132	245
822	1133	243
